Date,Year,Month,State,Vehicle_Category,EV_Sales
2021-12-01,2021,12,Delhi,Electric 2W,5000
2021-12-01,2021,12,Delhi,Electric 3W,4200
2021-12-01,2021,12,Delhi,Electric 4W,1520
2021-12-01,2021,12,Karnataka,Electric 2W,6600
2021-12-01,2021,12,Karnataka,Electric 3W,2920
2021-12-01,2021,12,Karnataka,Electric 4W,1460
2021-12-01,2021,12,Maharashtra,Electric 2W,8800
2021-12-01,2021,12,Maharashtra,Electric 3W,3820
2021-12-01,2021,12,Maharashtra,Electric 4W,1760
2021-12-01,2021,12,Uttar Pradesh,Electric 2W,5950
2021-12-01,2021,12,Uttar Pradesh,Electric 3W,5050
2021-12-01,2021,12,Uttar Pradesh,Electric 4W,1260
2022-01-01,2022,1,Delhi,Electric 2W,4200
2022-01-01,2022,1,Delhi,Electric 3W,3600
2022-01-01,2022,1,Delhi,Electric 4W,1300
2022-01-01,2022,1,Karnataka,Electric 2W,5550
2022-01-01,2022,1,Karnataka,Electric 3W,2480
2022-01-01,2022,1,Karnataka,Electric 4W,1230
2022-01-01,2022,1,Maharashtra,Electric 2W,7200
2022-01-01,2022,1,Maharashtra,Electric 3W,3250
2022-01-01,2022,1,Maharashtra,Electric 4W,1500
2022-01-01,2022,1,Uttar Pradesh,Electric 2W,5050
2022-01-01,2022,1,Uttar Pradesh,Electric 3W,4400
2022-01-01,2022,1,Uttar Pradesh,Electric 4W,1060
2022-02-01,2022,2,Delhi,Electric 2W,4450
2022-02-01,2022,2,Delhi,Electric 3W,3780
2022-02-01,2022,2,Delhi,Electric 4W,1380
2022-02-01,2022,2,Karnataka,Electric 2W,5850
2022-02-01,2022,2,Karnataka,Electric 3W,2630
2022-02-01,2022,2,Karnataka,Electric 4W,1300
2022-02-01,2022,2,Maharashtra,Electric 2W,7600
2022-02-01,2022,2,Maharashtra,Electric 3W,3420
2022-02-01,2022,2,Maharashtra,Electric 4W,1580
2022-02-01,2022,2,Uttar Pradesh,Electric 2W,5350
2022-02-01,2022,2,Uttar Pradesh,Electric 3W,4620
2022-02-01,2022,2,Uttar Pradesh,Electric 4W,1140
2022-03-01,2022,3,Delhi,Electric 2W,5050
2022-03-01,2022,3,Delhi,Electric 3W,4250
2022-03-01,2022,3,Delhi,Electric 4W,1580
2022-03-01,2022,3,Karnataka,Electric 2W,6650
2022-03-01,2022,3,Karnataka,Electric 3W,3050
2022-03-01,2022,3,Karnataka,Electric 4W,1500
2022-03-01,2022,3,Maharashtra,Electric 2W,8600
2022-03-01,2022,3,Maharashtra,Electric 3W,3900
2022-03-01,2022,3,Maharashtra,Electric 4W,1800
2022-03-01,2022,3,Uttar Pradesh,Electric 2W,6100
2022-03-01,2022,3,Uttar Pradesh,Electric 3W,5200
2022-03-01,2022,3,Uttar Pradesh,Electric 4W,1320
2022-04-01,2022,4,Delhi,Electric 2W,4820
2022-04-01,2022,4,Delhi,Electric 3W,4080
2022-04-01,2022,4,Delhi,Electric 4W,1510
2022-04-01,2022,4,Karnataka,Electric 2W,6400
2022-04-01,2022,4,Karnataka,Electric 3W,2900
2022-04-01,2022,4,Karnataka,Electric 4W,1430
2022-04-01,2022,4,Maharashtra,Electric 2W,8250
2022-04-01,2022,4,Maharashtra,Electric 3W,3720
2022-04-01,2022,4,Maharashtra,Electric 4W,1720
2022-04-01,2022,4,Uttar Pradesh,Electric 2W,5850
2022-04-01,2022,4,Uttar Pradesh,Electric 3W,5000
2022-04-01,2022,4,Uttar Pradesh,Electric 4W,1260
2022-05-01,2022,5,Delhi,Electric 2W,5300
2022-05-01,2022,5,Delhi,Electric 3W,4450
2022-05-01,2022,5,Delhi,Electric 4W,1680
2022-05-01,2022,5,Karnataka,Electric 2W,7000
2022-05-01,2022,5,Karnataka,Electric 3W,3220
2022-05-01,2022,5,Karnataka,Electric 4W,1600
2022-05-01,2022,5,Maharashtra,Electric 2W,9000
2022-05-01,2022,5,Maharashtra,Electric 3W,4100
2022-05-01,2022,5,Maharashtra,Electric 4W,1920
2022-05-01,2022,5,Uttar Pradesh,Electric 2W,6400
2022-05-01,2022,5,Uttar Pradesh,Electric 3W,5450
2022-05-01,2022,5,Uttar Pradesh,Electric 4W,1420
2022-06-01,2022,6,Delhi,Electric 2W,5700
2022-06-01,2022,6,Delhi,Electric 3W,4820
2022-06-01,2022,6,Delhi,Electric 4W,1800
2022-06-01,2022,6,Karnataka,Electric 2W,7550
2022-06-01,2022,6,Karnataka,Electric 3W,3500
2022-06-01,2022,6,Karnataka,Electric 4W,1740
2022-06-01,2022,6,Maharashtra,Electric 2W,9700
2022-06-01,2022,6,Maharashtra,Electric 3W,4450
2022-06-01,2022,6,Maharashtra,Electric 4W,2060
2022-06-01,2022,6,Uttar Pradesh,Electric 2W,6900
2022-06-01,2022,6,Uttar Pradesh,Electric 3W,5920
2022-06-01,2022,6,Uttar Pradesh,Electric 4W,1550
2022-07-01,2022,7,Delhi,Electric 2W,6100
2022-07-01,2022,7,Delhi,Electric 3W,5100
2022-07-01,2022,7,Delhi,Electric 4W,1920
2022-07-01,2022,7,Karnataka,Electric 2W,8050
2022-07-01,2022,7,Karnataka,Electric 3W,3750
2022-07-01,2022,7,Karnataka,Electric 4W,1860
2022-07-01,2022,7,Maharashtra,Electric 2W,10300
2022-07-01,2022,7,Maharashtra,Electric 3W,4700
2022-07-01,2022,7,Maharashtra,Electric 4W,2200
2022-07-01,2022,7,Uttar Pradesh,Electric 2W,7350
2022-07-01,2022,7,Uttar Pradesh,Electric 3W,6300
2022-07-01,2022,7,Uttar Pradesh,Electric 4W,1680
2022-08-01,2022,8,Delhi,Electric 2W,6550
2022-08-01,2022,8,Delhi,Electric 3W,5450
2022-08-01,2022,8,Delhi,Electric 4W,2080
2022-08-01,2022,8,Karnataka,Electric 2W,8600
2022-08-01,2022,8,Karnataka,Electric 3W,4050
2022-08-01,2022,8,Karnataka,Electric 4W,2020
2022-08-01,2022,8,Maharashtra,Electric 2W,11000
2022-08-01,2022,8,Maharashtra,Electric 3W,5020
2022-08-01,2022,8,Maharashtra,Electric 4W,2380
2022-08-01,2022,8,Uttar Pradesh,Electric 2W,7900
2022-08-01,2022,8,Uttar Pradesh,Electric 3W,6750
2022-08-01,2022,8,Uttar Pradesh,Electric 4W,1840
2022-09-01,2022,9,Delhi,Electric 2W,7050
2022-09-01,2022,9,Delhi,Electric 3W,5850
2022-09-01,2022,9,Delhi,Electric 4W,2240
2022-09-01,2022,9,Karnataka,Electric 2W,9250
2022-09-01,2022,9,Karnataka,Electric 3W,4380
2022-09-01,2022,9,Karnataka,Electric 4W,2180
2022-09-01,2022,9,Maharashtra,Electric 2W,11800
2022-09-01,2022,9,Maharashtra,Electric 3W,5400
2022-09-01,2022,9,Maharashtra,Electric 4W,2550
2022-09-01,2022,9,Uttar Pradesh,Electric 2W,8500
2022-09-01,2022,9,Uttar Pradesh,Electric 3W,7250
2022-09-01,2022,9,Uttar Pradesh,Electric 4W,2020
2022-10-01,2022,10,Delhi,Electric 2W,7900
2022-10-01,2022,10,Delhi,Electric 3W,6500
2022-10-01,2022,10,Delhi,Electric 4W,2500
2022-10-01,2022,10,Karnataka,Electric 2W,10400
2022-10-01,2022,10,Karnataka,Electric 3W,4920
2022-10-01,2022,10,Karnataka,Electric 4W,2460
2022-10-01,2022,10,Maharashtra,Electric 2W,13200
2022-10-01,2022,10,Maharashtra,Electric 3W,6020
2022-10-01,2022,10,Maharashtra,Electric 4W,2840
2022-10-01,2022,10,Uttar Pradesh,Electric 2W,9600
2022-10-01,2022,10,Uttar Pradesh,Electric 3W,8100
2022-10-01,2022,10,Uttar Pradesh,Electric 4W,2300
2022-11-01,2022,11,Delhi,Electric 2W,8500
2022-11-01,2022,11,Delhi,Electric 3W,6950
2022-11-01,2022,11,Delhi,Electric 4W,2720
2022-11-01,2022,11,Karnataka,Electric 2W,11250
2022-11-01,2022,11,Karnataka,Electric 3W,5300
2022-11-01,2022,11,Karnataka,Electric 4W,2680
2022-11-01,2022,11,Maharashtra,Electric 2W,14200
2022-11-01,2022,11,Maharashtra,Electric 3W,6450
2022-11-01,2022,11,Maharashtra,Electric 4W,3080
2022-11-01,2022,11,Uttar Pradesh,Electric 2W,10350
2022-11-01,2022,11,Uttar Pradesh,Electric 3W,8750
2022-11-01,2022,11,Uttar Pradesh,Electric 4W,2520
2022-12-01,2022,12,Delhi,Electric 2W,9100
2022-12-01,2022,12,Delhi,Electric 3W,7350
2022-12-01,2022,12,Delhi,Electric 4W,2880
2022-12-01,2022,12,Karnataka,Electric 2W,12000
2022-12-01,2022,12,Karnataka,Electric 3W,5680
2022-12-01,2022,12,Karnataka,Electric 4W,2860
2022-12-01,2022,12,Maharashtra,Electric 2W,15000
2022-12-01,2022,12,Maharashtra,Electric 3W,6800
2022-12-01,2022,12,Maharashtra,Electric 4W,3250
2022-12-01,2022,12,Uttar Pradesh,Electric 2W,11100
2022-12-01,2022,12,Uttar Pradesh,Electric 3W,9320
2022-12-01,2022,12,Uttar Pradesh,Electric 4W,2700
