Date,Year,Month,State,Vehicle_Category,EV_Sales,Quarter,Month_Name,Year_Month,Lag_1,Lag_2,Lag_3,Rolling_3,Rolling_STD_3,MoM_Growth
2021-08-01,2021,8,Karnataka,Electric 2W,4720,3,August,2021-08,4450.0,4200.0,3900.0,4456.666666666667,260.0640946638604,6.067415730337089
2021-09-01,2021,9,Karnataka,Electric 2W,5050,3,September,2021-09,4720.0,4450.0,4200.0,4740.0,300.49958402633433,6.991525423728806
2021-10-01,2021,10,Karnataka,Electric 2W,5650,4,October,2021-10,5050.0,4720.0,4450.0,5140.0,471.4870093650513,11.881188118811892
2021-11-01,2021,11,Karnataka,Electric 2W,6200,4,November,2021-11,5650.0,5050.0,4720.0,5633.333333333333,575.1811308912467,9.734513274336276
2021-12-01,2021,12,Karnataka,Electric 2W,6600,4,December,2021-12,6200.0,5650.0,5050.0,6150.0,476.9696007084731,6.451612903225801
2022-01-01,2022,1,Karnataka,Electric 2W,5550,1,January,2022-01,6600.0,6200.0,5650.0,6116.666666666667,529.9371031861552,-15.909090909090907
2022-02-01,2022,2,Karnataka,Electric 2W,5850,1,February,2022-02,5550.0,6600.0,6200.0,6000.0,540.8326913195988,5.405405405405395
2022-03-01,2022,3,Karnataka,Electric 2W,6650,1,March,2022-03,5850.0,5550.0,6600.0,6016.666666666667,568.624070307733,13.675213675213671
2022-04-01,2022,4,Karnataka,Electric 2W,6400,2,April,2022-04,6650.0,5850.0,5550.0,6300.0,409.26763859362273,-3.759398496240607
2022-05-01,2022,5,Karnataka,Electric 2W,7000,2,May,2022-05,6400.0,6650.0,5850.0,6683.333333333333,301.3856886670858,9.375
2022-06-01,2022,6,Karnataka,Electric 2W,7550,2,June,2022-06,7000.0,6400.0,6650.0,6983.333333333333,575.1811308912469,7.857142857142851
2022-07-01,2022,7,Karnataka,Electric 2W,8050,3,July,2022-07,7550.0,7000.0,6400.0,7533.333333333333,525.198375219625,6.62251655629138
2022-08-01,2022,8,Karnataka,Electric 2W,8600,3,August,2022-08,8050.0,7550.0,7000.0,8066.666666666667,525.198375219625,6.8322981366459645
2022-09-01,2022,9,Karnataka,Electric 2W,9250,3,September,2022-09,8600.0,8050.0,7550.0,8633.333333333334,600.6940430313368,7.558139534883712
2022-10-01,2022,10,Karnataka,Electric 2W,10400,4,October,2022-10,9250.0,8600.0,8050.0,9416.666666666666,911.5005942583547,12.432432432432439
2022-11-01,2022,11,Karnataka,Electric 2W,11250,4,November,2022-11,10400.0,9250.0,8600.0,10300.0,1003.7429949942369,8.173076923076916
2022-12-01,2022,12,Karnataka,Electric 2W,12000,4,December,2022-12,11250.0,10400.0,9250.0,11216.666666666666,800.5206639015225,6.666666666666665
2021-01-01,2021,1,Karnataka,Electric 3W,1200,1,January,2021-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,2021,2,Karnataka,Electric 3W,1320,1,February,2021-02,1200.0,0.0,0.0,0.0,0.0,10.000000000000009
2021-03-01,2021,3,Karnataka,Electric 3W,1500,1,March,2021-03,1320.0,1200.0,0.0,1340.0,150.99668870541498,13.636363636363647
2021-04-01,2021,4,Karnataka,Electric 3W,1450,2,April,2021-04,1500.0,1320.0,1200.0,1423.3333333333333,92.91573243177571,-3.3333333333333326
2021-05-01,2021,5,Karnataka,Electric 3W,1600,2,May,2021-05,1450.0,1500.0,1320.0,1516.6666666666667,76.37626158259735,10.344827586206895
2021-06-01,2021,6,Karnataka,Electric 3W,1750,2,June,2021-06,1600.0,1450.0,1500.0,1600.0,150.0,9.375
2021-07-01,2021,7,Karnataka,Electric 3W,1880,3,July,2021-07,1750.0,1600.0,1450.0,1743.3333333333333,140.11899704655804,7.428571428571429
2021-08-01,2021,8,Karnataka,Electric 3W,2020,3,August,2021-08,1880.0,1750.0,1600.0,1883.3333333333333,135.03086067019404,7.446808510638303
2021-09-01,2021,9,Karnataka,Electric 3W,2200,3,September,2021-09,2020.0,1880.0,1750.0,2033.3333333333333,160.416125540213,8.910891089108919
2021-10-01,2021,10,Karnataka,Electric 3W,2500,4,October,2021-10,2200.0,2020.0,1880.0,2240.0,242.48711305964292,13.636363636363647
2021-11-01,2021,11,Karnataka,Electric 3W,2750,4,November,2021-11,2500.0,2200.0,2020.0,2483.3333333333335,275.37852736430517,10.000000000000009
2021-12-01,2021,12,Karnataka,Electric 3W,2920,4,December,2021-12,2750.0,2500.0,2200.0,2723.3333333333335,211.26602503321092,6.181818181818177
2022-01-01,2022,1,Karnataka,Electric 3W,2480,1,January,2022-01,2920.0,2750.0,2500.0,2716.6666666666665,221.8858565419014,-15.068493150684937
2022-02-01,2022,2,Karnataka,Electric 3W,2630,1,February,2022-02,2480.0,2920.0,2750.0,2676.6666666666665,223.68132093076804,6.048387096774199
2022-03-01,2022,3,Karnataka,Electric 3W,3050,1,March,2022-03,2630.0,2480.0,2920.0,2720.0,295.46573405388295,15.969581749049432
2022-04-01,2022,4,Karnataka,Electric 3W,2900,2,April,2022-04,3050.0,2630.0,2480.0,2860.0,212.83796653792734,-4.918032786885251
2022-05-01,2022,5,Karnataka,Electric 3W,3220,2,May,2022-05,2900.0,3050.0,2630.0,3056.6666666666665,160.10413278030407,11.03448275862069
2022-06-01,2022,6,Karnataka,Electric 3W,3500,2,June,2022-06,3220.0,2900.0,3050.0,3206.6666666666665,300.2221399786053,8.695652173913038
2022-07-01,2022,7,Karnataka,Electric 3W,3750,3,July,2022-07,3500.0,3220.0,2900.0,3490.0,265.14147167125697,7.14285714285714
2022-08-01,2022,8,Karnataka,Electric 3W,4050,3,August,2022-08,3750.0,3500.0,3220.0,3766.6666666666665,275.3785273643051,8.000000000000007
2022-09-01,2022,9,Karnataka,Electric 3W,4380,3,September,2022-09,4050.0,3750.0,3500.0,4060.0,315.11902513177466,8.148148148148149
2022-10-01,2022,10,Karnataka,Electric 3W,4920,4,October,2022-10,4380.0,4050.0,3750.0,4450.0,439.20382511995507,12.328767123287676
2022-11-01,2022,11,Karnataka,Electric 3W,5300,4,November,2022-11,4920.0,4380.0,4050.0,4866.666666666667,462.31302526895485,7.72357723577235
2022-12-01,2022,12,Karnataka,Electric 3W,5680,4,December,2022-12,5300.0,4920.0,4380.0,5300.0,379.9999999999998,7.169811320754715
2021-01-01,2021,1,Karnataka,Electric 4W,640,1,January,2021-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,2021,2,Karnataka,Electric 4W,690,1,February,2021-02,640.0,0.0,0.0,0.0,0.0,7.8125
2021-03-01,2021,3,Karnataka,Electric 4W,780,1,March,2021-03,690.0,640.0,0.0,703.3333333333334,70.94598884597586,13.043478260869556
2021-04-01,2021,4,Karnataka,Electric 4W,740,2,April,2021-04,780.0,690.0,640.0,736.6666666666666,45.092497528228904,-5.128205128205132
2021-05-01,2021,5,Karnataka,Electric 4W,830,2,May,2021-05,740.0,780.0,690.0,783.3333333333334,45.092497528228904,12.162162162162172
2021-06-01,2021,6,Karnataka,Electric 4W,900,2,June,2021-06,830.0,740.0,780.0,823.3333333333334,80.2080627701064,8.43373493975903
2021-07-01,2021,7,Karnataka,Electric 4W,960,3,July,2021-07,900.0,830.0,740.0,896.6666666666666,65.06407098647706,6.666666666666665
2021-08-01,2021,8,Karnataka,Electric 4W,1030,3,August,2021-08,960.0,900.0,830.0,963.3333333333334,65.06407098647706,7.291666666666674
2021-09-01,2021,9,Karnataka,Electric 4W,1110,3,September,2021-09,1030.0,960.0,900.0,1033.3333333333333,75.05553499465132,7.7669902912621325
2021-10-01,2021,10,Karnataka,Electric 4W,1240,4,October,2021-10,1110.0,1030.0,960.0,1126.6666666666667,105.98742063723094,11.711711711711704
2021-11-01,2021,11,Karnataka,Electric 4W,1380,4,November,2021-11,1240.0,1110.0,1030.0,1243.3333333333333,135.03086067019393,11.290322580645151
2021-12-01,2021,12,Karnataka,Electric 4W,1460,4,December,2021-12,1380.0,1240.0,1110.0,1360.0,111.35528725660045,5.797101449275366
2022-01-01,2022,1,Karnataka,Electric 4W,1230,1,January,2022-01,1460.0,1380.0,1240.0,1356.6666666666667,116.76186592091334,-15.753424657534243
2022-02-01,2022,2,Karnataka,Electric 4W,1300,1,February,2022-02,1230.0,1460.0,1380.0,1330.0,117.89826122551601,5.691056910569103
2022-03-01,2022,3,Karnataka,Electric 4W,1500,1,March,2022-03,1300.0,1230.0,1460.0,1343.3333333333333,140.1189970465581,15.384615384615374
2022-04-01,2022,4,Karnataka,Electric 4W,1430,2,April,2022-04,1500.0,1300.0,1230.0,1410.0,101.48891565092232,-4.666666666666663
2022-05-01,2022,5,Karnataka,Electric 4W,1600,2,May,2022-05,1430.0,1500.0,1300.0,1510.0,85.44003745317548,11.888111888111897
2022-06-01,2022,6,Karnataka,Electric 4W,1740,2,June,2022-06,1600.0,1430.0,1500.0,1590.0,155.24174696260033,8.749999999999991
2022-07-01,2022,7,Karnataka,Electric 4W,1860,3,July,2022-07,1740.0,1600.0,1430.0,1733.3333333333333,130.12814197295438,6.896551724137923
2022-08-01,2022,8,Karnataka,Electric 4W,2020,3,August,2022-08,1860.0,1740.0,1600.0,1873.3333333333333,140.47538337137001,8.602150537634401
2022-09-01,2022,9,Karnataka,Electric 4W,2180,3,September,2022-09,2020.0,1860.0,1740.0,2020.0,160.00000000000017,7.920792079207928
2022-10-01,2022,10,Karnataka,Electric 4W,2460,4,October,2022-10,2180.0,2020.0,1860.0,2220.0,222.710574513201,12.844036697247695
2022-11-01,2022,11,Karnataka,Electric 4W,2680,4,November,2022-11,2460.0,2180.0,2020.0,2440.0,250.59928172283347,8.943089430894302
2022-12-01,2022,12,Karnataka,Electric 4W,2860,4,December,2022-12,2680.0,2460.0,2180.0,2666.6666666666665,200.33305601755646,6.7164179104477695
2021-01-01,2021,1,Maharashtra,Electric 2W,4200,1,January,2021-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,2021,2,Maharashtra,Electric 2W,4450,1,February,2021-02,4200.0,0.0,0.0,0.0,0.0,5.952380952380953
2021-03-01,2021,3,Maharashtra,Electric 2W,5100,1,March,2021-03,4450.0,4200.0,0.0,4583.333333333333,464.5786621588786,14.606741573033698
2021-04-01,2021,4,Maharashtra,Electric 2W,4900,2,April,2021-04,5100.0,4450.0,4200.0,4816.666666666667,332.91640592396993,-3.9215686274509776
2021-05-01,2021,5,Maharashtra,Electric 2W,5300,2,May,2021-05,4900.0,5100.0,4450.0,5100.0,200.00000000000028,8.163265306122458
2021-06-01,2021,6,Maharashtra,Electric 2W,5700,2,June,2021-06,5300.0,4900.0,5100.0,5300.0,400.00000000000017,7.547169811320753
2021-07-01,2021,7,Maharashtra,Electric 2W,6000,3,July,2021-07,5700.0,5300.0,4900.0,5666.666666666667,351.18845842842467,5.263157894736836
2021-08-01,2021,8,Maharashtra,Electric 2W,6350,3,August,2021-08,6000.0,5700.0,5300.0,6016.666666666667,325.3203549323854,5.833333333333335
2021-09-01,2021,9,Maharashtra,Electric 2W,6800,3,September,2021-09,6350.0,6000.0,5700.0,6383.333333333333,401.040313850532,7.086614173228356
2021-10-01,2021,10,Maharashtra,Electric 2W,7600,4,October,2021-10,6800.0,6350.0,6000.0,6916.666666666667,633.1139971074191,11.764705882352944
2021-11-01,2021,11,Maharashtra,Electric 2W,8300,4,November,2021-11,7600.0,6800.0,6350.0,7566.666666666667,750.5553499465132,9.210526315789469
2021-12-01,2021,12,Maharashtra,Electric 2W,8800,4,December,2021-12,8300.0,7600.0,6800.0,8233.333333333334,602.77137733417,6.024096385542177
2022-01-01,2022,1,Maharashtra,Electric 2W,7200,1,January,2022-01,8800.0,8300.0,7600.0,8100.0,818.5352771872442,-18.181818181818176
2022-02-01,2022,2,Maharashtra,Electric 2W,7600,1,February,2022-02,7200.0,8800.0,8300.0,7866.666666666667,832.6663997864523,5.555555555555558
2022-03-01,2022,3,Maharashtra,Electric 2W,8600,1,March,2022-03,7600.0,7200.0,8800.0,7800.0,721.1102550927972,13.157894736842103
2022-04-01,2022,4,Maharashtra,Electric 2W,8250,2,April,2022-04,8600.0,7600.0,7200.0,8150.0,507.44457825460995,-4.069767441860462
2022-05-01,2022,5,Maharashtra,Electric 2W,9000,2,May,2022-05,8250.0,8600.0,7600.0,8616.666666666666,375.2776749732556,9.090909090909083
2022-06-01,2022,6,Maharashtra,Electric 2W,9700,2,June,2022-06,9000.0,8250.0,8600.0,8983.333333333334,725.1436639269023,7.777777777777772
2022-07-01,2022,7,Maharashtra,Electric 2W,10300,3,July,2022-07,9700.0,9000.0,8250.0,9666.666666666666,650.6407098647703,6.185567010309279
2022-08-01,2022,8,Maharashtra,Electric 2W,11000,3,August,2022-08,10300.0,9700.0,9000.0,10333.333333333334,650.6407098647703,6.796116504854366
2022-09-01,2022,9,Maharashtra,Electric 2W,11800,3,September,2022-09,11000.0,10300.0,9700.0,11033.333333333334,750.5553499465123,7.272727272727275
2022-10-01,2022,10,Maharashtra,Electric 2W,13200,4,October,2022-10,11800.0,11000.0,10300.0,12000.0,1113.5528725660035,11.864406779661007
2022-11-01,2022,11,Maharashtra,Electric 2W,14200,4,November,2022-11,13200.0,11800.0,11000.0,13066.666666666666,1205.542754668341,7.575757575757569
2022-12-01,2022,12,Maharashtra,Electric 2W,15000,4,December,2022-12,14200.0,13200.0,11800.0,14133.333333333334,901.8499505645782,5.633802816901401
2021-01-01,2021,1,Maharashtra,Electric 3W,1800,1,January,2021-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,2021,2,Maharashtra,Electric 3W,1900,1,February,2021-02,1800.0,0.0,0.0,0.0,0.0,5.555555555555558
2021-03-01,2021,3,Maharashtra,Electric 3W,2200,1,March,2021-03,1900.0,1800.0,0.0,1966.6666666666667,208.16659994661325,15.789473684210531
2021-04-01,2021,4,Maharashtra,Electric 3W,2080,2,April,2021-04,2200.0,1900.0,1800.0,2060.0,150.99668870541493,-5.454545454545457
2021-05-01,2021,5,Maharashtra,Electric 3W,2300,2,May,2021-05,2080.0,2200.0,1900.0,2193.3333333333335,110.15141094572189,10.576923076923084
2021-06-01,2021,6,Maharashtra,Electric 3W,2500,2,June,2021-06,2300.0,2080.0,2200.0,2293.3333333333335,210.0793500878496,8.695652173913038
2021-07-01,2021,7,Maharashtra,Electric 3W,2650,3,July,2021-07,2500.0,2300.0,2080.0,2483.3333333333335,175.59422921421202,6.000000000000005
2021-08-01,2021,8,Maharashtra,Electric 3W,2820,3,August,2021-08,2650.0,2500.0,2300.0,2656.6666666666665,160.10413278030404,6.41509433962264
2021-09-01,2021,9,Maharashtra,Electric 3W,3000,3,September,2021-09,2820.0,2650.0,2500.0,2823.3333333333335,175.02380790433406,6.382978723404253
2021-10-01,2021,10,Maharashtra,Electric 3W,3350,4,October,2021-10,3000.0,2820.0,2650.0,3056.6666666666665,269.5057204092953,11.66666666666667
2021-11-01,2021,11,Maharashtra,Electric 3W,3600,4,November,2021-11,3350.0,3000.0,2820.0,3316.6666666666665,301.38568866708533,7.462686567164178
2021-12-01,2021,12,Maharashtra,Electric 3W,3820,4,December,2021-12,3600.0,3350.0,3000.0,3590.0,235.15952032609695,6.111111111111112
2022-01-01,2022,1,Maharashtra,Electric 3W,3250,1,January,2022-01,3820.0,3600.0,3350.0,3556.6666666666665,287.46014216467177,-14.92146596858639
2022-02-01,2022,2,Maharashtra,Electric 3W,3420,1,February,2022-02,3250.0,3820.0,3600.0,3496.6666666666665,292.6317367158478,5.230769230769239
2022-03-01,2022,3,Maharashtra,Electric 3W,3900,1,March,2022-03,3420.0,3250.0,3820.0,3523.3333333333335,337.0954365359063,14.035087719298245
2022-04-01,2022,4,Maharashtra,Electric 3W,3720,2,April,2022-04,3900.0,3420.0,3250.0,3680.0,242.4871130596425,-4.61538461538461
2022-05-01,2022,5,Maharashtra,Electric 3W,4100,2,May,2022-05,3720.0,3900.0,3420.0,3906.6666666666665,190.08769905844304,10.215053763440851
2022-06-01,2022,6,Maharashtra,Electric 3W,4450,2,June,2022-06,4100.0,3720.0,3900.0,4090.0,365.1027252705735,8.536585365853666
2022-07-01,2022,7,Maharashtra,Electric 3W,4700,3,July,2022-07,4450.0,4100.0,3720.0,4416.666666666667,301.3856886670851,5.617977528089879
